table_name
activity_log
ai_settings
assessment_jobs
assessments
backup_log
candidate_communications
candidate_files
candidate_forwards
candidate_offers
candidates
co_sourcers
ctc_templates
custom_columns
deletion_requests
email_template_jobs
email_templates
form_job_links
form_responses
forms
google_drive_settings
hiring_requests
interviews
jd_library
job_creation_requests
job_recruiters
jobs
masters
notifications
profiles
recruitment_forms
screening_questions
sync_configs
sync_conflicts
